
$64$ & $149$& $64$ & $23$ \\ [1pt] 
$128$ & $97$ & $128$ & $16$ \\[1pt] 
$256$ & $79$ & $256$ & $13$ \\[1pt] 
$512$ & $72$ & $512$ & $11$ \\[1pt] 
$64$ & $12$ & $64$ & $8$ \\ [1pt]
$128$ & $9$ & $128$ & $8$ \\ [1pt]
$256$ & $8$ & $256$ & $8$ \\ [1pt]
$512$ & $8$ & $512$ & $8$ \\ [1pt]
$64$ & $8$ & $64$ & $8$ \\ [1pt]
$128$ & $8$ & $128$ & $8$ \\ [1pt]
$256$ & $8$ & $256$ & $8$ \\ [1pt]
$512$ & $8$ & $512$ & $8$ \\ [1pt]
$64$ & $8$ & $64$ & $8$ \\ [1pt]
$128$ & $8$ & $128$ & $8$ \\ [1pt]
$256$ & $8$ & $256$ & $8$ \\ [1pt]
$512$ & $8$ & $512$ & $8$ \\ [1pt]
$64$ & $8$ & $64$ & $8$ \\ [1pt]
$128$ & $8$ & $128$ & $8$ \\ [1pt]
$256$ & $8$ & $256$ & $8$ \\ [1pt]
$512$ & $8$ & $512$ & $8$ \\ [1pt]
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
$64$ & $44$  & $64$ & $42$ \\ [1pt]
$128$ & $43$   & $128$ & $42$ \\ [1pt]
$256$ & $43$   & $256$ & $42$ \\ [1pt]
$512$ & $43$   & $512$ & $42$ \\ [1pt]
$1024$ & $43$  & $1024$ & $42$ \\ [1pt]
$8192$ & $43$  & $8192$ & $42$ \\ [1pt]
$64$ & $42$   & $64$ & $42$ \\ [1pt]
$128$ & $42$  & $128$ & $42$ \\ [1pt]
$256$ & $42$  & $256$ & $42$ \\ [1pt]
$512$ & $42$  & $512$ & $42$ \\ [1pt]
$1024$ & $42$  & $1024$ & $42$ \\ [1pt]
$8192$ & $42$  & $8192$ & $42$ \\ [1pt]
$64$ & $42$  & $64$ & $42$ \\ [1pt]
$128$ & $42$   & $128$ & $42$ \\ [1pt]
$256$ & $42$   & $256$ & $42$ \\ [1pt]
$512$ & $42$   & $512$ & $42$ \\ [1pt]
$1024$ & $42$  & $1024$ & $42$ \\ [1pt]
$8192$ & $42$  & $8192$ & $42$ \\ [1pt]
$64$ & $42$  & $64$ & $42$ \\ [1pt]
$128$ & $42$  & $128$ & $43$ \\ [1pt]
$256$ & $42$  & $256$ & $42$ \\ [1pt]
$512$ & $43$  & $512$ & $43$ \\ [1pt]
$1024$ & $42$  & $1024$ & $42$ \\ [1pt] 
$8192$ & $42$  & $8192$ & $42$ \\ [1pt] 
$64$ & $56$  & $64$ & $55$ \\ [1pt]
$128$ & $49$  & $128$ & $48$ \\ [1pt]
$256$ & $45$  & $256$ & $43$ \\ [1pt]
$512$ & $41$  & $512$ & $41$ \\ [1pt]
$1024$ & $41$  & $1024$ & $41$ \\ [1pt]
$8192$ & $42$  & $8192$ & $43$ \\ [1pt]



$64$ & $788$  & $64$ & $766$ \\  [1pt]
$128$ & $788$   & $128$ & $766$ \\  [1pt]
$256$ & $787$   & $256$ & $766$ \\  [1pt]
$512$ & $787$   & $512$ & $765$ \\  [1pt]
$1024$ & $787$ & $1024$ & $765$ \\  [1pt]
$1048576$ & $787$   & $1048576$ & $765$ \\  [1pt]
$64$ & $624$  & $64$ & $623$ \\  [1pt]
$128$ & $626$  & $128$ & $625$ \\  [1pt]
$256$ & $628$  & $256$ & $627$ \\  [1pt]
$512$ & $629$  & $512$ & $628$ \\  [1pt]
$1024$ & $629$  & $1024$ & $628$ \\  [1pt]
$1048576$ & $629$   & $1048576$ & $628$ \\  [1pt]
$64$ & $626$  & $64$ & $627$ \\  [1pt]
$128$ & $619$  & $128$ & $619$ \\  [1pt]
$256$ & $616$  & $256$ & $615$ \\  [1pt]
$512$ & $620$  & $512$ & $620$ \\  [1pt]
$1024$ & $619$  & $1024$ & $619$ \\  [1pt]
$1048576$ & $622$   & $1048576$ & $622$ \\  [1pt]
$64$ & $635$  & $64$ & $636$ \\  [1pt]
$128$ & $636$  & $128$ & $594$ \\  [1pt]
$256$ & $660$  & $256$ & $659$ \\  [1pt]
$512$ & $617$  & $512$ & $615$ \\  [1pt]
$1024$ & $616$  & $1024$ & $614$ \\  [1pt]
$1048576$ & $620$   & $1048576$ & $621$ \\  [1pt]
$64$ & $984$  & $64$ & $979$ \\  [1pt]
$128$ & $717$  & $128$ & $696$ \\  [1pt]
$256$ & $661$  & $256$ & $667$ \\  [1pt]
$512$ & $603$  & $512$ & $573$ \\  [1pt]
$1024$ & $671$  & $1024$ & $716$ \\  [1pt]
$1048576$ & $636$   & $1048576$ & $633$ \\ [1pt]


